Forename,Surname,Name (Display As),Name (List As),Party,Constituency,Address 1,Address 2,Postcode,Email
Alex,Ballinger,Alex Ballinger,"Ballinger, Alex",Labour,Halesowen,House of Commons,London,SW1A 0AA,alex.ballinger.mp@parliament.uk
Antonia,Bance,Antonia Bance,"Bance, Antonia",Labour,Tipton and Wednesbury,House of Commons,London,SW1A 0AA,antonia.bance.mp@parliament.uk
Steve,Barclay,Steve Barclay,"Barclay, Steve",Conservative,North East Cambridgeshire,House of Commons,London,SW1A 0AA,stephen.barclay.mp@parliament.uk
Paula,Barker,Paula Barker,"Barker, Paula",Labour,Liverpool Wavertree,House of Commons,London,SW1A 0AA,paula.barker.mp@parliament.uk
Lee,Barron,Lee Barron,"Barron, Lee",Labour,Corby and East Northamptonshire,House of Commons,London,SW1A 0AA,lee.barron.mp@parliament.uk
Alex,Barros-Curtis,Mr Alex Barros-Curtis,"Barros-Curtis, Mr Alex",Labour,Cardiff West,House of Commons,London,SW1A 0AA,alex.barroscurtis.mp@parliament.uk
Johanna,Baxter,Johanna Baxter,"Baxter, Johanna",Labour,Paisley and Renfrewshire South,House of Commons,London,SW1A 0AA,johanna.baxter.mp@parliament.uk
Danny,Beales,Danny Beales,"Beales, Danny",Labour,Uxbridge and South Ruislip,House of Commons,London,SW1A 0AA,danny.beales.mp@parliament.uk
Lorraine,Beavers,Lorraine Beavers,"Beavers, Lorraine",Labour,Blackpool North and Fleetwood,House of Commons,London,SW1A 0AA,lorraine.beavers.mp@parliament.uk
Peter,Bedford,Mr Peter Bedford,"Bedford, Mr Peter",Conservative,Mid Leicestershire,House of Commons,London,SW1A 0AA,peter.bedford.mp@parliament.uk
Órfhlaith,Begley,Órfhlaith Begley,"Begley, Órfhlaith",Sinn Féin,West Tyrone,House of Commons,London,SW1A 0AA,
Apsana,Begum,Apsana Begum,"Begum, Apsana",Independent,Poplar and Limehouse,House of Commons,London,SW1A 0AA,apsana.begum.mp@parliament.uk
Torsten,Bell,Torsten Bell,"Bell, Torsten",Labour,Swansea West,House of Commons,London,SW1A 0AA,torsten.bell.mp@parliament.uk
Hilary,Benn,Hilary Benn,"Benn, Hilary",Labour,Leeds South,House of Commons,London,SW1A 0AA,bennh@parliament.uk
Alison,Bennett,Alison Bennett,"Bennett, Alison",Liberal Democrat,Mid Sussex,House of Commons,London,SW1A 0AA,alison.bennett.mp@parliament.uk
Siân,Berry,Siân Berry,"Berry, Siân",Green Party,Brighton Pavilion,House of Commons,London,SW1A 0AA,sian.berry.mp@parliament.uk
Clive,Betts,Mr Clive Betts,"Betts, Mr Clive",Labour,Sheffield South East,House of Commons,London,SW1A 0AA,officeofclivebettsmp@parliament.uk
Saqib,Bhatti,Saqib Bhatti,"Bhatti, Saqib",Conservative,Meriden and Solihull East,House of Commons,London,SW1A 0AA,saqib.bhatti@parliament.uk
Polly,Billington,Ms Polly Billington,"Billington, Ms Polly",Labour,East Thanet,House of Commons,London,SW1A 0AA,polly.billington.mp@parliament.uk
Matt,Bishop,Matt Bishop,"Bishop, Matt",Labour,Forest of Dean,House of Commons,London,SW1A 0AA,matt.bishop.mp@parliament.uk
Bob,Blackman,Bob Blackman,"Blackman, Bob",Conservative,Harrow East,House of Commons,London,SW1A 0AA,bob.blackman.mp@parliament.uk
Kirsty,Blackman,Kirsty Blackman,"Blackman, Kirsty",Scottish National Party,Aberdeen North,House of Commons,London,SW1A 0AA,kirsty.blackman.mp@parliament.uk
Olivia,Blake,Olivia Blake,"Blake, Olivia",Labour,Sheffield Hallam,House of Commons,London,SW1A 0AA,olivia.blake.mp@parliament.uk
Rachel,Blake,Rachel Blake,"Blake, Rachel",Labour (Co-op),Cities of London and Westminster,House of Commons,London,SW1A 0AA,rachel.blake.mp@parliament.uk
Chris,Bloore,Chris Bloore,"Bloore, Chris",Labour,Redditch,House of Commons,London,SW1A 0AA,chris.bloore.mp@parliament.uk
Elsie,Blundell,Mrs Elsie Blundell,"Blundell, Mrs Elsie",Labour,Heywood and Middleton North,House of Commons,London,SW1A 0AA,elsie.blundell.mp@parliament.uk
Kevin,Bonavia,Kevin Bonavia,"Bonavia, Kevin",Labour,Stevenage,House of Commons,London,SW1A 0AA,kevin.bonavia.mp@parliament.uk
Sarah,Bool,Sarah Bool,"Bool, Sarah",Conservative,South Northamptonshire,House of Commons,London,SW1A 0AA,sarah.bool.mp@parliament.uk
Jade,Botterill,Jade Botterill,"Botterill, Jade",Labour,Ossett and Denby Dale,House of Commons,London,SW1A 0AA,jade.botterill.mp@parliament.uk
Andrew,Bowie,Andrew Bowie,"Bowie, Andrew",Conservative,West Aberdeenshire and Kincardine,House of Commons,London,SW1A 0AA,andrew.bowie.mp@parliament.uk
Sureena,Brackenridge,Mrs Sureena Brackenridge,"Brackenridge, Mrs Sureena",Labour,Wolverhampton North East,House of Commons,London,SW1A 0AA,sureena.brackenridge.mp@parliament.uk
Karen,Bradley,Dame Karen Bradley,"Bradley, Dame Karen",Conservative,Staffordshire Moorlands,House of Commons,London,SW1A 0AA,karen.bradley.mp@parliament.uk
Aphra,Brandreth,Aphra Brandreth,"Brandreth, Aphra",Conservative,Chester South and Eddisbury,House of Commons,London,SW1A 0AA,aphra.brandreth.mp@parliament.uk
Jonathan,Brash,Mr Jonathan Brash,"Brash, Mr Jonathan",Labour,Hartlepool,House of Commons,London,SW1A 0AA,jonathan.brash.mp@parliament.uk
Suella,Braverman,Suella Braverman,"Braverman, Suella",Conservative,Fareham and Waterlooville,House of Commons,London,SW1A 0AA,suella.braverman.mp@parliament.uk
Alex,Brewer,Alex Brewer,"Brewer, Alex",Liberal Democrat,North East Hampshire,House of Commons,London,SW1A 0AA,alex.brewer.mp@parliament.uk
Phil,Brickell,Phil Brickell,"Brickell, Phil",Labour,Bolton West,House of Commons,London,SW1A 0AA,phil.brickell.mp@parliament.uk
Jess,Brown-Fuller,Jess Brown-Fuller,"Brown-Fuller, Jess",Liberal Democrat,Chichester,House of Commons,London,SW1A 0AA,jess.brownfuller.mp@parliament.uk
Chris,Bryant,Chris Bryant,"Bryant, Chris",Labour,Rhondda and Ogmore,House of Commons,London,SW1A 0AA,chris.bryant.mp@parliament.uk
Julia,Buckley,Julia Buckley,"Buckley, Julia",Labour,Shrewsbury,House of Commons,London,SW1A 0AA,julia.buckley.mp@parliament.uk
Alex,Burghart,Alex Burghart,"Burghart, Alex",Conservative,Brentwood and Ongar,House of Commons,London,SW1A 0AA,alex.burghart.mp@parliament.uk
Richard,Burgon,Richard Burgon,"Burgon, Richard",Independent,Leeds East,House of Commons,London,SW1A 0AA,richard@richardburgon.com
Maureen,Burke,Maureen Burke,"Burke, Maureen",Labour,Glasgow North East,House of Commons,London,SW1A 0AA,maureen.burke.mp@parliament.uk
David,Burton-Sampson,David Burton-Sampson,"Burton-Sampson, David",Labour,Southend West and Leigh,House of Commons,London,SW1A 0AA,david.burtonsampson.mp@parliament.uk
Dawn,Butler,Dawn Butler,"Butler, Dawn",Labour,Brent East,House of Commons,London,SW1A 0AA,dawn.butler.mp@parliament.uk
Ian,Byrne,Ian Byrne,"Byrne, Ian",Independent,Liverpool West Derby,House of Commons,London,SW1A 0AA,ian.byrne.mp@parliament.uk
Liam,Byrne,Liam Byrne,"Byrne, Liam",Labour,Birmingham Hodge Hill and Solihull North,House of Commons,London,SW1A 0AA,liam.byrne.mp@parliament.uk
Ruth,Cadbury,Ruth Cadbury,"Cadbury, Ruth",Labour,Brentford and Isleworth,House of Commons,London,SW1A 0AA,ruthcadburymp@parliament.uk
Nesil,Caliskan,Nesil Caliskan,"Caliskan, Nesil",Labour,Barking,House of Commons,London,SW1A 0AA,nesil.caliskan.mp@parliament.uk
Alan,Campbell,Sir Alan Campbell,"Campbell, Sir Alan",Labour,Tynemouth,House of Commons,London,SW1A 0AA,alan.campbell.mp@parliament.uk
Gregory,Campbell,Mr Gregory Campbell,"Campbell, Mr Gregory",Democratic Unionist Party,East Londonderry,House of Commons,London,SW1A 0AA,aaron.callan@parliament.uk
Irene,Campbell,Irene Campbell,"Campbell, Irene",Labour,North Ayrshire and Arran,House of Commons,London,SW1A 0AA,irene.campbell.mp@parliament.uk
Juliet,Campbell,Juliet Campbell,"Campbell, Juliet",Labour,Broxtowe,House of Commons,London,SW1A 0AA,juliet.campbell.mp@parliament.uk
Markus,Campbell-Savours,Markus Campbell-Savours,"Campbell-Savours, Markus",Labour,Penrith and Solway,House of Commons,London,SW1A 0AA,markus.campbellsavours.mp@parliament.uk
Charlotte,Cane,Charlotte Cane,"Cane, Charlotte",Liberal Democrat,Ely and East Cambridgeshire,House of Commons,London,SW1A 0AA,charlotte.cane.mp@parliament.uk
Dan,Carden,Dan Carden,"Carden, Dan",Labour,Liverpool Walton,House of Commons,London,SW1A 0AA,dan.carden.mp@parliament.uk
Sam,Carling,Sam Carling,"Carling, Sam",Labour,North West Cambridgeshire,House of Commons,London,SW1A 0AA,sam.carling.mp@parliament.uk
Alistair,Carmichael,Mr Alistair Carmichael,"Carmichael, Mr Alistair",Liberal Democrat,Orkney and Shetland,House of Commons,London,SW1A 0AA,carmichaela@parliament.uk
Al,Carns,Al Carns,"Carns, Al",Labour,Birmingham Selly Oak,House of Commons,London,SW1A 0AA,al.carns.mp@parliament.uk
James,Cartlidge,James Cartlidge,"Cartlidge, James",Conservative,South Suffolk,House of Commons,London,SW1A 0AA,james.cartlidge.mp@parliament.uk
David,Chadwick,David Chadwick,"Chadwick, David",Liberal Democrat,"Brecon, Radnor and Cwm Tawe",House of Commons,London,SW1A 0AA,david.chadwick.mp@parliament.uk
Wendy,Chamberlain,Wendy Chamberlain,"Chamberlain, Wendy",Liberal Democrat,North East Fife,House of Commons,London,SW1A 0AA,wendy.chamberlain.mp@parliament.uk
Danny,Chambers,Dr Danny Chambers,"Chambers, Dr Danny",Liberal Democrat,Winchester,House of Commons,London,SW1A 0AA,danny.chambers.mp@parliament.uk
Sarah,Champion,Sarah Champion,"Champion, Sarah",Labour,Rotherham,House of Commons,London,SW1A 0AA,sarah.champion.mp@parliament.uk
Bambos,Charalambous,Bambos Charalambous,"Charalambous, Bambos",Labour,Southgate and Wood Green,House of Commons,London,SW1A 0AA,bambos.charalambous.mp@parliament.uk
Luke,Charters,Mr Luke Charters,"Charters, Mr Luke",Labour,York Outer,House of Commons,London,SW1A 0AA,luke.charters.mp@parliament.uk
Christopher,Chope,Sir Christopher Chope,"Chope, Sir Christopher",Conservative,Christchurch,House of Commons,London,SW1A 0AA,chopec@parliament.uk
Ellie,Chowns,Ellie Chowns,"Chowns, Ellie",Green Party,North Herefordshire,House of Commons,London,SW1A 0AA,ellie.chowns.mp@parliament.uk
Feryal,Clark,Feryal Clark,"Clark, Feryal",Labour,Enfield North,House of Commons,London,SW1A 0AA,feryal.clark.mp@parliament.uk
James,Cleverly,Mr James Cleverly,"Cleverly, Mr James",Conservative,Braintree,House of Commons,London,SW1A 0AA,james.cleverly.mp@parliament.uk
Geoffrey,Clifton-Brown,Sir Geoffrey Clifton-Brown,"Clifton-Brown, Sir Geoffrey",Conservative,North Cotswolds,House of Commons,London,SW1A 0AA,cliftonbrowng@parliament.uk
Lewis,Cocking,Lewis Cocking,"Cocking, Lewis",Conservative,Broxbourne,House of Commons,London,SW1A 0AA,lewis.cocking.mp@parliament.uk
Chris,Coghlan,Chris Coghlan,"Coghlan, Chris",Liberal Democrat,Dorking and Horley,House of Commons,London,SW1A 0AA,chris.coghlan.mp@parliament.uk
Ben,Coleman,Ben Coleman,"Coleman, Ben",Labour,Chelsea and Fulham,House of Commons,London,SW1A 0AA,ben.coleman.mp@parliament.uk
Jacob,Collier,Jacob Collier,"Collier, Jacob",Labour,Burton and Uttoxeter,House of Commons,London,SW1A 0AA,jacob.collier.mp@parliament.uk
Lizzi,Collinge,Lizzi Collinge,"Collinge, Lizzi",Labour,Morecambe and Lunesdale,House of Commons,London,SW1A 0AA,lizzi.collinge.mp@parliament.uk
Tom,Collins,Tom Collins,"Collins, Tom",Labour,Worcester,House of Commons,London,SW1A 0AA,tom.collins.mp@parliament.uk
Victoria,Collins,Victoria Collins,"Collins, Victoria",Liberal Democrat,Harpenden and Berkhamsted,House of Commons,London,SW1A 0AA,victoria.collins.mp@parliament.uk
Liam,Conlon,Liam Conlon,"Conlon, Liam",Labour,Beckenham and Penge,House of Commons,London,SW1A 0AA,liam.conlon.mp@parliament.uk
Sarah,Coombes,Sarah Coombes,"Coombes, Sarah",Labour,West Bromwich,House of Commons,London,SW1A 0AA,sarah.coombes.mp@parliament.uk
Andrew,Cooper,Andrew Cooper,"Cooper, Andrew",Labour,Mid Cheshire,House of Commons,London,SW1A 0AA,andrew.cooper.mp@parliament.uk
Beccy,Cooper,Dr Beccy Cooper,"Cooper, Dr Beccy",Labour,Worthing West,House of Commons,London,SW1A 0AA,beccy.cooper.mp@parliament.uk
Daisy,Cooper,Daisy Cooper,"Cooper, Daisy",Liberal Democrat,St Albans,House of Commons,London,SW1A 0AA,daisy.cooper.mp@parliament.uk
John,Cooper,John Cooper,"Cooper, John",Conservative,Dumfries and Galloway,House of Commons,London,SW1A 0AA,john.cooper.mp@parliament.uk
Yvette,Cooper,Yvette Cooper,"Cooper, Yvette",Labour,"Pontefract, Castleford and Knottingley",House of Commons,London,SW1A 0AA,coopery@parliament.uk
Jeremy,Corbyn,Jeremy Corbyn,"Corbyn, Jeremy",Independent,Islington North,House of Commons,London,SW1A 0AA,jeremy.corbyn.mp@parliament.uk
Alberto,Costa,Alberto Costa,"Costa, Alberto",Conservative,South Leicestershire,House of Commons,London,SW1A 0AA,alberto.costa.mp@parliament.uk
Deirdre,Costigan,Deirdre Costigan,"Costigan, Deirdre",Labour,Ealing Southall,House of Commons,London,SW1A 0AA,deirdre.costigan.mp@parliament.uk
Claire,Coutinho,Claire Coutinho,"Coutinho, Claire",Conservative,East Surrey,House of Commons,London,SW1A 0AA,claire.coutinho.mp@parliament.uk
Geoffrey,Cox,Sir Geoffrey Cox,"Cox, Sir Geoffrey",Conservative,Torridge and Tavistock,House of Commons,London,SW1A 0AA,coxg@parliament.uk
Pam,Cox,Pam Cox,"Cox, Pam",Labour,Colchester,House of Commons,London,SW1A 0AA,pam.cox.mp@parliament.uk
Neil,Coyle,Neil Coyle,"Coyle, Neil",Labour,Bermondsey and Old Southwark,House of Commons,London,SW1A 0AA,neil.coyle.mp@parliament.uk
Jen,Craft,Jen Craft,"Craft, Jen",Labour,Thurrock,House of Commons,London,SW1A 0AA,jen.craft.mp@parliament.uk
Mary,Creagh,Mary Creagh,"Creagh, Mary",Labour,Coventry East,House of Commons,London,SW1A 0AA,mary.creagh.mp@parliament.uk
Stella,Creasy,Ms Stella Creasy,"Creasy, Ms Stella",Labour (Co-op),Walthamstow,House of Commons,London,SW1A 0AA,stella.creasy.mp@parliament.uk
Torcuil,Crichton,Torcuil Crichton,"Crichton, Torcuil",Labour,Na h-Eileanan an Iar,House of Commons,London,SW1A 0AA,torcuil.crichton.mp@parliament.uk
Harriet,Cross,Harriet Cross,"Cross, Harriet",Conservative,Gordon and Buchan,House of Commons,London,SW1A 0AA,harriet.cross.mp@parliament.uk
Pat,Cullen,Pat Cullen,"Cullen, Pat",Sinn Féin,Fermanagh and South Tyrone,House of Commons,London,SW1A 0AA,pat.cullen.mp@parliament.uk
Judith,Cummins,Judith Cummins,"Cummins, Judith",Labour,Bradford South,House of Commons,London,SW1A 0AA,judith.cummins.mp@parliament.uk
Chris,Curtis,Chris Curtis,"Curtis, Chris",Labour,Milton Keynes North,House of Commons,London,SW1A 0AA,chris.curtis.mp@parliament.uk
Janet,Daby,Janet Daby,"Daby, Janet",Labour,Lewisham East,House of Commons,London,SW1A 0AA,janet.daby.mp@parliament.uk
Nicholas,Dakin,Sir Nicholas Dakin,"Dakin, Sir Nicholas",Labour,Scunthorpe,House of Commons,London,SW1A 0AA,nic.dakin.mp@parliament.uk
Ashley,Dalton,Ashley Dalton,"Dalton, Ashley",Labour,West Lancashire,House of Commons,London,SW1A 0AA,ashley.dalton.mp@parliament.uk
Adam,Dance,Adam Dance,"Dance, Adam",Liberal Democrat,Yeovil,House of Commons,London,SW1A 0AA,adam.dance.mp@parliament.uk
Steve,Darling,Steve Darling,"Darling, Steve",Liberal Democrat,Torbay,House of Commons,London,SW1A 0AA,steve.darling.mp@parliament.uk
Emily,Darlington,Emily Darlington,"Darlington, Emily",Labour,Milton Keynes Central,House of Commons,London,SW1A 0AA,emily.darlington.mp@parliament.uk
Ed,Davey,Ed Davey,"Davey, Ed",Liberal Democrat,Kingston and Surbiton,House of Commons,London,SW1A 0AA,edward.davey.mp@parliament.uk
Ann,Davies,Ann Davies,"Davies, Ann",Plaid Cymru,Caerfyrddin,House of Commons,London,SW1A 0AA,ann.davies.mp@parliament.uk
Gareth,Davies,Gareth Davies,"Davies, Gareth",Conservative,Grantham and Bourne,House of Commons,London,SW1A 0AA,gareth.davies.mp@parliament.uk
Jonathan,Davies,Jonathan Davies,"Davies, Jonathan",Labour,Mid Derbyshire,House of Commons,London,SW1A 0AA,jonathan.davies.mp@parliament.uk
MiDavies,Davies,Mims Davies,"Davies, Mims",Conservative,East Grinstead and Uckfield,House of Commons,London,SW1A 0AA,mims.davies.mp@parliament.uk
Paul,Davies,Paul Davies,"Davies, Paul",Labour,Colne Valley,House of Commons,London,SW1A 0AA,paul.davies.mp@parliament.uk
Shaun,Davies,Shaun Davies,"Davies, Shaun",Labour,Telford,House of Commons,London,SW1A 0AA,shaun.davies.mp@parliament.uk
Alex,Davies-Jones,Alex Davies-Jones,"Davies-Jones, Alex",Labour,Pontypridd,House of Commons,London,SW1A 0AA,alex.daviesjones.mp@parliament.uk
David,Davis,David Davis,"Davis, David",Conservative,Goole and Pocklington,House of Commons,London,SW1A 0AA,david.davis.mp@parliament.uk
Marsha,De Cordova,Marsha De Cordova,"De Cordova, Marsha",Labour,Battersea,House of Commons,London,SW1A 0AA,marsha.decordova.mp@parliament.uk
Bobby,Dean,Bobby Dean,"Dean, Bobby",Liberal Democrat,Carshalton and Wallington,House of Commons,London,SW1A 0AA,bobby.dean.mp@parliament.uk
Josh,Dean,Josh Dean,"Dean, Josh",Labour,Hertford and Stortford,House of Commons,London,SW1A 0AA,josh.dean.mp@parliament.uk
Kate,Dearden,Kate Dearden,"Dearden, Kate",Labour (Co-op),Halifax,House of Commons,London,SW1A 0AA,kate.dearden.mp@parliament.uk
Carla,Denyer,Carla Denyer,"Denyer, Carla",Green Party,Bristol Central,House of Commons,London,SW1A 0AA,carla.denyer.mp@parliament.uk
Charlie,Dewhirst,Charlie Dewhirst,"Dewhirst, Charlie",Conservative,Bridlington and The Wolds,House of Commons,London,SW1A 0AA,charlie.dewhirst.mp@parliament.uk
Tanmanjeet,Singh Dhesi,Mr Tanmanjeet Singh Dhesi,"Dhesi, Mr Tanmanjeet Singh",Labour,Slough,House of Commons,London,SW1A 0AA,tan.dhesi.mp@parliament.uk
Jim,Dickson,Jim Dickson,"Dickson, Jim",Labour,Dartford,House of Commons,London,SW1A 0AA,jim.dickson.mp@parliament.uk
Lee,Dillon,Mr Lee Dillon,"Dillon, Mr Lee",Liberal Democrat,Newbury,House of Commons,London,SW1A 0AA,lee.dillon.mp@parliament.uk
Caroline,Dinenage,Dame Caroline Dinenage,"Dinenage, Dame Caroline",Conservative,Gosport,House of Commons,London,SW1A 0AA,caroline.dinenage.mp@parliament.uk
Anna,Dixon,Anna Dixon,"Dixon, Anna",Labour,Shipley,House of Commons,London,SW1A 0AA,anna.dixon.mp@parliament.uk
Samantha,Dixon,Samantha Dixon,"Dixon, Samantha",Labour,Chester North and Neston,House of Commons,London,SW1A 0AA,Samantha.dixon.mp@parliament.uk
Anneliese,Dodds,Anneliese Dodds,"Dodds, Anneliese",Labour (Co-op),Oxford East,House of Commons,London,SW1A 0AA,anneliese.dodds.mp@parliament.uk
Helena,Dollimore,Helena Dollimore,"Dollimore, Helena",Labour (Co-op),Hastings and Rye,House of Commons,London,SW1A 0AA,helena.dollimore.mp@parliament.uk
Dave,Doogan,Dave Doogan,"Doogan, Dave",Scottish National Party,Angus and Perthshire Glens,House of Commons,London,SW1A 0AA,dave.doogan.mp@parliament.uk
Stephen,Doughty,Stephen Doughty,"Doughty, Stephen",Labour (Co-op),Cardiff South and Penarth,House of Commons,London,SW1A 0AA,stephen.doughty.mp@parliament.uk
Peter,Dowd,Peter Dowd,"Dowd, Peter",Labour,Bootle,House of Commons,London,SW1A 0AA,peter.dowd.mp@parliament.uk
Oliver,Dowden,Sir Oliver Dowden,"Dowden, Sir Oliver",Conservative,Hertsmere,House of Commons,London,SW1A 0AA,oliver.dowden.mp@parliament.uk
Graeme,Downie,Graeme Downie,"Downie, Graeme",Labour,Dunfermline and Dollar,House of Commons,London,SW1A 0AA,graeme.downie.mp@parliament.uk
Rosie,Duffield,Rosie Duffield,"Duffield, Rosie",Independent,Canterbury,House of Commons,London,SW1A 0AA,rosie.duffield.mp@parliament.uk
Iain,Duncan Smith,Sir Iain Duncan Smith,"Duncan Smith, Sir Iain",Conservative,Chingford and Woodford Green,House of Commons,London,SW1A 0AA,Iain.duncansmith.mp@parliament.uk
